Name,State,District,Website,Matched Name
Maxine Dexter,Oregon,3rd,https://dexter.house.gov/,"DEXTER, MAXINE"
Val Hoyle,Oregon,4th,https://hoyle.house.gov,"HOYLE, VALERIE"
Janelle Bynum,Oregon,5th,https://bynum.house.gov/,"BYNUM, JANELLE"
Andrea Salinas,Oregon,6th,https://salinas.house.gov,"SALINAS, ANDREA"
Suzanne Bonamici,Oregon,1st,https://bonamici.house.gov,"BONAMICI, SUZANNE MS."
Brendan Boyle,Pennsylvania,2nd,https://boyle.house.gov/,"BOYLE, BRENDAN F"
Dwight Evans,Pennsylvania,3rd,https://evans.house.gov/,"EVANS, DWIGHT"
Madeleine Dean,Pennsylvania,4th,https://dean.house.gov,"DEAN, MADELEINE"
Mary Gay Scanlon,Pennsylvania,5th,https://scanlon.house.gov/,"SCANLON, MARY GAY"
Chrissy Houlahan,Pennsylvania,6th,https://houlahan.house.gov/,"HOULAHAN, CHRISSY"
Ryan Mackenzie,Pennsylvania,7th,https://mackenzie.house.gov/,"MACKENZIE, RYAN EDWARD"
Robert Bresnahan,Pennsylvania,8th,https://bresnahan.house.gov/,"BRESNAHAN, ROB"
Daniel Meuser,Pennsylvania,9th,https://meuser.house.gov,"MEUSER, DANIEL"
Scott Perry,Pennsylvania,10th,https://perry.house.gov/,"PERRY, SCOTT"
Lloyd Smucker,Pennsylvania,11th,https://smucker.house.gov/,"SMUCKER, LLOYD K."
Summer Lee,Pennsylvania,12th,https://summerlee.house.gov,"LEE, SUMMER"
John Joyce,Pennsylvania,13th,https://johnjoyce.house.gov/,"JOYCE, JOHN"
Guy Reschenthaler,Pennsylvania,14th,https://reschenthaler.house.gov/,"RESCHENTHALER, GUY MR."
Glenn Thompson,Pennsylvania,15th,https://thompson.house.gov,"THOMPSON, GLENN MR."
Mike Kelly,Pennsylvania,16th,https://kelly.house.gov,"KELLY, GEORGE J JR"
Christopher Deluzio,Pennsylvania,17th,https://deluzio.house.gov,"DELUZIO, CHRISTOPHER"
Brian Fitzpatrick,Pennsylvania,1st,https://fitzpatrick.house.gov/,"FITZPATRICK, BRIAN"
Pablo Hernandez,Puerto Rico,Resident Commissioner,https://hernandez.house.gov/,"HERNANDEZ RIVERA, PABLO JOSE"
Seth Magaziner,Rhode Island,2nd,https://magaziner.house.gov,"MAGAZINER, SETH"
Gabe Amo,Rhode Island,1st,https://amo.house.gov,"AMO, GABRIEL F"
Joe Wilson,South Carolina,2nd,https://joewilson.house.gov/,"WILSON, JOE THE HON."
Sheri Biggs,South Carolina,3rd,https://sheribiggs.house.gov/,"BIGGS, SHERI"
William Timmons,South Carolina,4th,https://timmons.house.gov/,"TIMMONS, WILLIAM R IV"
Ralph Norman,South Carolina,5th,https://norman.house.gov,"NORMAN, RALPH W. JR."
James Clyburn,South Carolina,6th,https://clyburn.house.gov/,"CLYBURN, JAMES E."
Russell Fry,South Carolina,7th,https://fry.house.gov,"FRY, RUSSELL"
Nancy Mace,South Carolina,1st,,"MACE, NANCY"
Dusty Johnson,South Dakota,At Large,https://dustyjohnson.house.gov/,"JOHNSON, DUSTY"
Tim Burchett,Tennessee,2nd,https://burchett.house.gov,"BURCHETT, TIM"
Charles Fleischmann,Tennessee,3rd,https://fleischmann.house.gov/,"FLEISCHMANN, CHARLES J"
Scott DesJarlais,Tennessee,4th,https://desjarlais.house.gov/,"DESJARLAIS, SCOTT HON."
Andrew Ogles,Tennessee,5th,https://ogles.house.gov,"OGLES, ANDY"
John Rose,Tennessee,6th,https://johnrose.house.gov/,"ROSE, JOHN W."
Mark E. Green,Tennessee,7th,https://clerk.house.gov/Members#Vacancies,"GREEN, MARK DR."
David Kustoff,Tennessee,8th,https://kustoff.house.gov,"KUSTOFF, DAVID"
Steve Cohen,Tennessee,9th,https://cohen.house.gov/,"COHEN, STEVE I MR."
Diana Harshbarger,Tennessee,1st,https://harshbarger.house.gov,"HARSHBARGER, DIANA"
Dan Crenshaw,Texas,2nd,https://crenshaw.house.gov/,"CRENSHAW, DANIEL"
Keith Self,Texas,3rd,https://keithself.house.gov,"SELF, KEITH ALAN MR"
Pat Fallon,Texas,4th,https://fallon.house.gov,"FALLON, PATRICK"
Lance Gooden,Texas,5th,https://gooden.house.gov,"GOODEN, LANCE"
Jake Ellzey,Texas,6th,https://ellzey.house.gov/,"ELLZEY, JOHN KEVIN SR."
Lizzie Fletcher,Texas,7th,https://fletcher.house.gov,"FLETCHER, ELIZABETH"
Morgan Luttrell,Texas,8th,https://luttrell.house.gov,"LUTTRELL, MORGAN JOE"
Al Green,Texas,9th,https://algreen.house.gov,"GREEN, ALEXANDER"
Michael McCaul,Texas,10th,https://mccaul.house.gov,"MCCAUL, MICHAEL"
August Pfluger,Texas,11th,https://pfluger.house.gov,"PFLUGER, AUGUST LEE II"
Craig Goldman,Texas,12th,https://craiggoldman.house.gov/,"GOLDMAN, CRAIG"
Ronny Jackson,Texas,13th,https://jackson.house.gov,"JACKSON, RONNY LYNN"
Randy Weber,Texas,14th,https://weber.house.gov,"WEBER, RANDY"
Monica De La Cruz,Texas,15th,https://delacruz.house.gov,"DE LA CRUZ, MONICA"
Veronica Escobar,Texas,16th,https://escobar.house.gov,"ESCOBAR, VERONICA"
Pete Sessions,Texas,17th,https://sessions.house.gov,"SESSIONS, PETE"
Sylvester Turner,Texas,18th,https://clerk.house.gov/members/TX18/vacancy,"TURNER, SYLVESTER"
Jodey Arrington,Texas,19th,https://arrington.house.gov,"ARRINGTON, JODEY"
Joaquin Castro,Texas,20th,https://castro.house.gov,"CASTRO, JOAQUIN"
Chip Roy,Texas,21st,https://roy.house.gov,"ROY, CHIP"
Troy Nehls,Texas,22nd,https://nehls.house.gov,"NEHLS, TROY"
Tony Gonzales,Texas,23rd,https://gonzales.house.gov,"GONZALES, ERNEST ANTHONY TONY II"
Beth Van Duyne,Texas,24th,https://vanduyne.house.gov,"VAN DUYNE, ELIZABETH ANN"
Roger Williams,Texas,25th,https://williams.house.gov,"WILLIAMS, ROGER"
Brandon Gill,Texas,26th,https://gill.house.gov/,"GILL, BRANDON"
Michael Cloud,Texas,27th,https://cloud.house.gov,"CLOUD, MICHAEL"
Henry Cuellar,Texas,28th,https://cuellar.house.gov/,"CUELLAR, HENRY R."
Sylvia Garcia,Texas,29th,https://sylviagarcia.house.gov/,"GARCIA, SYLVIA R"
Jasmine Crockett,Texas,30th,https://crockett.house.gov,"CROCKETT, JASMINE"
John Carter,Texas,31st,https://carter.house.gov/,"CARTER, JOHN R REP."
Julie Johnson,Texas,32nd,https://juliejohnson.house.gov/,"JOHNSON, JULIE"
Marc Veasey,Texas,33rd,https://veasey.house.gov,"VEASEY, MARC ALLISON"
Vicente Gonzalez,Texas,34th,https://gonzalez.house.gov,"GONZALEZ, VICENTE"
Greg Casar,Texas,35th,https://casar.house.gov,"CASAR, GREG"
Brian Babin,Texas,36th,https://babin.house.gov,"BABIN, BRIAN"
Lloyd Doggett,Texas,37th,https://doggett.house.gov,"DOGGETT, LLOYD"
Wesley Hunt,Texas,38th,https://hunt.house.gov,"HUNT, WESLEY"
Nathaniel Moran,Texas,1st,https://moran.house.gov,"MORAN, NATHANIEL QUENTIN"
Celeste Maloy,Utah,2nd,https://maloy.house.gov,"MALOY, CELESTE"
Mike Kennedy,Utah,3rd,https://mikekennedy.house.gov/,"KENNEDY, MIKE"
Burgess Owens,Utah,4th,https://owens.house.gov,"OWENS, BURGESS"
Blake Moore,Utah,1st,https://blakemoore.house.gov,"MOORE, BLAKE"
Becca Balint,Vermont,At Large,https://balint.house.gov,"BALINT, REBECCA 'BECCA'"
Stacey Plaskett,Virgin Islands,Delegate,https://plaskett.house.gov/,"PLASKETT, STACEY"
Jennifer Kiggans,Virginia,2nd,https://kiggans.house.gov,"KIGGANS, JENNIFER"
Robert Scott,Virginia,3rd,https://bobbyscott.house.gov,"SCOTT, ROBERT C"
Jennifer McClellan,Virginia,4th,https://mcclellan.house.gov/,"MCCLELLAN, JENNIFER"
John McGuire,Virginia,5th,https://mcguire.house.gov/,
Ben Cline,Virginia,6th,https://cline.house.gov,"CLINE, BENJAMIN LEE"
Eugene Vindman,Virginia,7th,https://vindman.house.gov/,"VINDMAN, YEVGENY 'EUGENE'"
Donald Beyer,Virginia,8th,https://beyer.house.gov,"BEYER, DONALD STERNOFF JR."
H. Griffith,Virginia,9th,https://morgangriffith.house.gov/,"GRIFFITH, H MORGAN"
Suhas Subramanyam,Virginia,10th,https://subramanyam.house.gov/,"SUBRAMANYAM, SUHAS"
Gerald E. Connolly,Virginia,11th,https://clerk.house.gov/members/VA11/vacancy,"CONNOLLY, GERALD EDWARD"
Robert Wittman,Virginia,1st,https://wittman.house.gov/,"WITTMAN, ROBERT J. MR."
Rick Larsen,Washington,2nd,https://larsen.house.gov,"LARSEN, RICK"
Marie Perez,Washington,3rd,https://gluesenkampperez.house.gov,"GLUESENKAMP PEREZ, MARIE"
Dan Newhouse,Washington,4th,https://newhouse.house.gov,"NEWHOUSE, DAN"
Michael Baumgartner,Washington,5th,https://baumgartner.house.gov/,"BAUMGARTNER, MICHAEL JAMES"
Emily Randall,Washington,6th,https://randall.house.gov/,"RANDALL, EMILY"
Pramila Jayapal,Washington,7th,https://jayapal.house.gov,"JAYAPAL, PRAMILA"
Kim Schrier,Washington,8th,https://schrier.house.gov,"SCHRIER, KIM DR."
Adam Smith,Washington,9th,https://adamsmith.house.gov/,"SMITH, D. ADAM"
Marilyn Strickland,Washington,10th,https://strickland.house.gov,"STRICKLAND, MARILYN"
Suzan DelBene,Washington,1st,https://delbene.house.gov,"DELBENE, SUZAN K"
Riley Moore,West Virginia,2nd,https://rileymoore.house.gov/,"MOORE, RILEY"
Carol Miller,West Virginia,1st,https://miller.house.gov/,"MILLER, CAROL DEVINE"
Mark Pocan,Wisconsin,2nd,https://pocan.house.gov,"POCAN, MARK"
Derrick Van Orden,Wisconsin,3rd,https://vanorden.house.gov,"VAN ORDEN, DERRICK F. MR."
Gwen Moore,Wisconsin,4th,https://gwenmoore.house.gov,"MOORE, GWEN S"
Scott Fitzgerald,Wisconsin,5th,https://fitzgerald.house.gov,"FITZGERALD, SCOTT"
Glenn Grothman,Wisconsin,6th,https://grothman.house.gov,"GROTHMAN, GLENN S."
Thomas Tiffany,Wisconsin,7th,https://tiffany.house.gov/,"TIFFANY, TOM"
Tony Wied,Wisconsin,8th,https://wied.house.gov/,"WIED, TONY"
Bryan Steil,Wisconsin,1st,https://steil.house.gov,"STEIL, BRYAN GEORGE"
Harriet Hageman,Wyoming,At Large,https://hageman.house.gov/,"HAGEMAN, HARRIET"
David Schweikert,Arizona,1st,https://schweikert.house.gov/,"SCHWEIKERT, DAVID S."
